Station Date     Time       Temp(K)     Lat         Lon
KBNA  10/13/2010 11:53      288.149994  36.130001  -86.680000 
KTYS  10/13/2010 11:53      286.149994  35.820000  -83.980003 
KOQT  10/13/2010 11:53      286.149994  36.020000  -84.230003 
KHKA  10/13/2010 12:01      284.149994  35.930000  -89.830002 
KCKV  10/13/2010 11:52      286.149994  36.619999  -87.419998 
KMEM  10/13/2010 11:53      287.149994  35.049999  -90.000000 
KMKL  10/13/2010 11:53      284.149994  35.599998  -88.919998 
KCHA  10/13/2010 11:53      288.149994  35.029999  -85.199997 
KTRI  10/13/2010 11:53      287.149994  36.480000  -82.400002 
KCSV  10/13/2010 11:53      285.149994  35.950001  -85.080002 
KAVL  10/13/2010 11:54      282.149994  35.430000  -82.550003 
